"COUNTRY_ID","COUNTRY_NAME","COUNTRY_REGION","COUNTRY_REGION_ID"
52790,"United States of America","Americas",52801
52776,"Germany","Europe",52803
52789,"United Kingdom","Europe",52803
52784,"The Netherlands","Europe",52803
52780,"Ireland","Europe",52803
52777,"Denmark","Europe",52803
52779,"France","Europe",52803
52778,"Spain","Europe",52803
52788,"Turkey","Europe",52803
52786,"Poland","Europe",52803
52775,"Brazil","Americas",52801
52773,"Argentina","Americas",52801
52783,"Malaysia","Asia",52802
52782,"Japan","Asia",52802
52781,"India","Asia",52802
52774,"Australia","Oceania",52805
52785,"New Zealand","Oceania",52805
52791,"South Africa","Africa",52800
52787,"Saudi Arabia","Middle East",52804
52772,"Canada","Americas",52801
52771,"China","Asia",52802
52769,"Singapore","Asia",52802
52770,"Italy","Europe",52803
